filename,line_number,pii_type,match
Fake_PII_Dataset_Presentation.pptx,13,email,alice.smith@example.com
Fake_PII_Dataset_Presentation.pptx,13,ssn,123-45-6789
Fake_PII_Dataset_Presentation.pptx,14,email,bob.j@example.org
Fake_PII_Dataset_Presentation.pptx,14,ssn,987-65-4321
Fake_PII_Dataset_Presentation.pptx,15,email,carla.diaz@testmail.com
Fake_PII_Dataset_Presentation.pptx,15,ssn,111-22-3333
Fake_PII_Dataset_Presentation.pptx,16,email,david.lee@sample.net
Fake_PII_Dataset_Presentation.pptx,16,ssn,222-33-4444
Fake_PII_Dataset_Presentation.pptx,17,email,echen@demo.co
Fake_PII_Dataset_Presentation.pptx,17,ssn,333-44-5555
Fake_PII_Dataset_Presentation.pptx,19,email,alice.smith@example.com
Fake_PII_Dataset_Presentation.pptx,19,ssn,123-45-6789
New Hire Details - Alice Smith.msg,5,email,alice.smith@example.com
New Hire Details - Alice Smith.msg,7,ssn,123-45-6789
New Hire Details - Alice Smith.msg,9,address,"123 Maple Street, Springfield, IL 62704"
sample1.csv,1,email,alice.johnson@example.com
sample1.csv,1,ssn,123-45-6789
sample1.csv,1,phone,555-123-4567
sample1.csv,2,email,bob.smith@domain.org
sample1.csv,2,ssn,234-56-7890
sample1.csv,2,phone,555.987.6543
sample1.csv,3,email,charlie.lee@example.net
sample1.csv,3,ssn,345-67-8901
sample1.csv,3,phone,555 321 9876
sample1.txt,2,ssn,123-45-6789
sample1.txt,3,email,john@example.com
sample2.csv,1,email,manager@apollo.com
sample2.csv,1,phone,555-444-2222
sample2.csv,2,email,contact@gemini.org
sample2.csv,3,email,orion-team@spaceagency.gov
sample2.csv,3,phone,123-456-7890
sample_mixed_pii.pdf,2,ssn,987-65-4321
sample_mixed_pii.pdf,3,email,jane.smith@example.com
sample_mixed_pii.pdf,8,dob,07/27/1990
