filepath,line_number,pii_type,match
samples\Fake_PII_Dataset_Presentation.pptx,13,email,alice.smith@example.com
samples\Fake_PII_Dataset_Presentation.pptx,13,ssn,123-45-6789
samples\Fake_PII_Dataset_Presentation.pptx,14,email,bob.j@example.org
samples\Fake_PII_Dataset_Presentation.pptx,14,ssn,987-65-4321
samples\Fake_PII_Dataset_Presentation.pptx,15,email,carla.diaz@testmail.com
samples\Fake_PII_Dataset_Presentation.pptx,15,ssn,111-22-3333
samples\Fake_PII_Dataset_Presentation.pptx,16,email,david.lee@sample.net
samples\Fake_PII_Dataset_Presentation.pptx,16,ssn,222-33-4444
samples\Fake_PII_Dataset_Presentation.pptx,17,email,echen@demo.co
samples\Fake_PII_Dataset_Presentation.pptx,17,ssn,333-44-5555
samples\Fake_PII_Dataset_Presentation.pptx,19,email,alice.smith@example.com
samples\Fake_PII_Dataset_Presentation.pptx,19,ssn,123-45-6789
samples\New Hire Details - Alice Smith.msg,5,email,alice.smith@example.com
samples\New Hire Details - Alice Smith.msg,7,ssn,123-45-6789
samples\New Hire Details - Alice Smith.msg,9,address,"123 Maple Street, Springfield, IL 62704"
samples\sample1.csv,1,email,alice.johnson@example.com
samples\sample1.csv,1,ssn,123-45-6789
samples\sample1.csv,1,phone,555-123-4567
samples\sample1.csv,2,email,bob.smith@domain.org
samples\sample1.csv,2,ssn,234-56-7890
samples\sample1.csv,2,phone,555.987.6543
samples\sample1.csv,3,email,charlie.lee@example.net
samples\sample1.csv,3,ssn,345-67-8901
samples\sample1.csv,3,phone,555 321 9876
samples\sample1.txt,2,ssn,123-45-6789
samples\sample1.txt,3,email,john@example.com
samples\sample2.csv,1,email,manager@apollo.com
samples\sample2.csv,1,phone,555-444-2222
samples\sample2.csv,2,email,contact@gemini.org
samples\sample2.csv,3,email,orion-team@spaceagency.gov
samples\sample2.csv,3,phone,123-456-7890
samples\sample_mixed_pii.pdf,2,ssn,987-65-4321
samples\sample_mixed_pii.pdf,3,email,jane.smith@example.com
samples\sample_mixed_pii.pdf,8,dob,07/27/1990
